 Location:  0N 165E  13 Dec 1986 to 19 Oct 2020 ( 2472 times, 11 blocks) Gen. Date Apr 20 2021
 Units: Sea Surface Temperature (C), -9.99 = missing
YYYY_MM_DD HHMM SST Q
2016_02_21 1200 29.52 1
2016_02_26 1200 29.73 1
2016_03_03 1200 29.71 1
2016_03_08 1200 29.75 1
2016_03_13 1200 29.75 1
2016_03_18 1200 29.51 1
2016_03_23 1200 29.04 1
2016_03_28 1200 29.61 1
2016_04_02 1200 29.35 1
2016_04_07 1200 29.05 1
2016_04_12 1200 29.3 1
2016_04_17 1200 28.65 1
2016_04_22 1200 28.97 1
2016_04_27 1200 29.57 1
2016_05_02 1200 29.87 1
2016_05_07 1200 29.42 1
2016_05_12 1200 28.91 1
2016_05_17 1200 28.56 1
2016_05_22 1200 28.82 1
2016_05_27 1200 29.09 1
2016_06_01 1200 29.1 1
2016_06_06 1200 29.25 1
2016_06_11 1200 30.03 1
2016_06_16 1200 30.09 1
2016_06_21 1200 29.75 1
2016_06_26 1200 29.37 1
2016_07_01 1200 29.67 1
2016_07_06 1200 30.23 1
2016_07_11 1200 30.33 1
2016_07_16 1200 30.29 1
2016_07_21 1200 30.22 1
2016_07_26 1200 30.08 1
2016_07_31 1200 30.1 1
2016_08_05 1200 29.88 1
2016_08_10 1200 29.58 1
2016_08_15 1200 29.81 1
2016_08_20 1200 30.08 1
2016_08_25 1200 29.81 1
2016_08_30 1200 29.7 1
2016_09_04 1200 29.78 1
2016_09_09 1200 30.01 1
2016_09_14 1200 29.63 1
2016_09_19 1200 29.27 1
2016_09_24 1200 29.32 1
2016_09_29 1200 29.19 1
2016_10_04 1200 29.49 1
2016_10_09 1200 29.3 1
2016_10_14 1200 29.03 1
2016_10_19 1200 29.29 1
2016_10_24 1200 29.39 1
2016_10_29 1200 29.55 1
2016_11_03 1200 29.05 1
2016_11_08 1200 28.81 1
2016_11_13 1200 28.79 1
2016_11_18 1200 29.21 1
2016_11_23 1200 29.21 1
2016_11_28 1200 29.13 1
2016_12_03 1200 29.23 1
2016_12_08 1200 29.87 1
2016_12_13 1200 30.24 1
2016_12_18 1200 30.37 1
2016_12_23 1200 30.17 1
2016_12_28 1200 30.24 1
2017_01_02 1200 30.39 1
2017_01_07 1200 30.38 1
2017_01_12 1200 30.39 1
2017_01_17 1200 30.37 1
2017_01_22 1200 30.42 1
2017_01_27 1200 30.29 1
2017_02_01 1200 30.24 1
2017_02_06 1200 30.06 1
2017_02_11 1200 29.92 1
2017_02_16 1200 29.88 1
2017_02_21 1200 29.92 1
2017_02_26 1200 29.67 1
2017_03_03 1200 28.68 1
2017_03_08 1200 28.38 1
2017_03_13 1200 28.25 1
2017_03_18 1200 28.35 1
2017_03_23 1200 28.39 1
2017_03_28 1200 28.46 1
2017_04_02 1200 28.84 1
2017_04_07 1200 28.72 1
2017_04_12 1200 28.86 1
2017_04_17 1200 28.67 1
2017_04_22 1200 29.05 1
2017_04_27 1200 29.13 1
2017_05_02 1200 28.83 1
2017_05_07 1200 29.26 1
2017_05_12 1200 29.72 1
2017_05_17 1200 29.36 1
2017_05_22 1200 29.4 1
2017_05_27 1200 29.17 1
2017_06_01 1200 29.32 1
2017_06_06 1200 29.82 1
2017_06_11 1200 30.32 1
2017_06_16 1200 30.05 1
2017_06_21 1200 29.75 1
2017_06_26 1200 29.84 1
2017_07_01 1200 29.95 1
2017_07_06 1200 29.83 1
2017_07_11 1200 30.1 1
2017_07_16 1200 30.15 1
2017_07_21 1200 30.01 1
2017_07_26 1200 29.93 1
2017_07_31 1200 29.96 1
2017_08_05 1200 30.02 1
2017_08_10 1200 30.05 2
2017_08_15 1200 -9.99 0
2017_08_20 1200 29.97 2
2017_08_25 1200 29.82 2
2017_08_30 1200 29.82 2
2017_09_04 1200 29.93 2
2017_09_09 1200 29.94 2
2017_09_14 1200 29.37 2
2017_09_19 1200 29.42 2
2017_09_24 1200 29.14 2
2017_09_29 1200 28.83 2
2017_10_04 1200 29.11 2
2017_10_09 1200 28.78 2
2017_10_14 1200 28.73 2
2017_10_19 1200 28.92 2
2017_10_24 1200 28.88 2
2017_10_29 1200 29.16 2
2017_11_03 1200 29.27 2
2017_11_08 1200 29.19 2
2017_11_13 1200 29.4 2
2017_11_18 1200 29.11 2
2017_11_23 1200 29.71 2
2017_11_28 1200 29.89 2
2017_12_03 1200 29.69 2
2017_12_08 1200 29.54 2
2017_12_13 1200 29.53 2
2017_12_18 1200 30.22 2
2017_12_23 1200 30.07 2
2017_12_28 1200 30.2 2
2018_01_02 1200 30.23 2
2018_01_07 1200 30.34 2
2018_01_12 1200 30.21 2
2018_01_17 1200 29.82 2
2018_01_22 1200 29.25 2
2018_01_27 1200 29.03 2
2018_02_01 1200 29.01 2
2018_02_06 1200 28.99 2
2018_02_11 1200 29.6 2
2018_02_16 1200 29.79 2
2018_02_21 1200 29.92 2
2018_02_26 1200 29.99 2
2018_03_03 1200 30.02 2
2018_03_08 1200 29.82 2
2018_03_13 1200 29.7 2
2018_03_18 1200 29.8 2
2018_03_23 1200 29.93 2
2018_03_28 1200 29.92 2
2018_04_02 1200 29.94 2
2018_04_07 1200 30.03 2
2018_04_12 1200 30.01 2
2018_04_17 1200 30.15 2
2018_04_22 1200 29.91 2
2018_04_27 1200 30.16 2
2018_05_02 1200 30.19 2
2018_05_07 1200 30.28 2
2018_05_12 1200 30.22 2
2018_05_17 1200 30.19 2
2018_05_22 1200 30.14 2
2018_05_27 1200 30.11 2
2018_06_01 1200 30.05 2
2018_06_06 1200 29.92 2
2018_06_11 1200 29.88 2
2018_06_16 1200 29.89 2
2018_06_21 1200 29.95 2
2018_06_26 1200 30.05 2
2018_07_01 1200 30.03 2
2018_07_06 1200 30.18 2
2018_07_11 1200 29.87 2
2018_07_16 1200 29.98 2
2018_07_21 1200 30.1 2
2018_07_26 1200 30.21 2
2018_07_31 1200 30.39 2
2018_08_05 1200 30.33 2
2018_08_10 1200 30.41 2
2018_08_15 1200 30.21 2
2018_08_20 1200 30.23 2
2018_08_25 1200 30.3 2
2018_08_30 1200 30.32 2
2018_09_04 1200 30.35 2
2018_09_09 1200 30.3 2
2018_09_14 1200 30.4 2
2018_09_19 1200 30.48 2
2018_09_24 1200 30.34 2
2018_09_29 1200 30.31 2
2018_10_04 1200 30.48 2
2018_10_09 1200 30.69 2
2018_10_14 1200 30.67 2
2018_10_19 1200 30.81 2
2018_10_24 1200 30.99 2
2018_10_29 1200 30.82 2
2018_11_03 1200 30.68 2
2018_11_08 1200 30.8 2
2018_11_13 1200 30.55 2
2018_11_18 1200 30.52 2
2018_11_23 1200 30.57 2
2018_11_28 1200 30.21 2
2018_12_03 1200 30.29 2
2018_12_08 1200 30.61 2
2018_12_13 1200 30.44 2
2018_12_18 1200 30.22 2
2018_12_23 1200 30.44 2
2018_12_28 1200 30.29 2
2019_01_02 1200 30.07 2
2019_01_07 1200 30.47 2
2019_01_12 1200 30.12 2
2019_01_17 1200 29.94 2
2019_01_22 1200 29.95 2
2019_01_27 1200 30.13 2
2019_02_01 1200 30.16 2
2019_02_06 1200 29.97 2
2019_02_11 1200 29.94 2
2019_02_16 1200 29.83 2
2019_02_21 1200 29.75 2
2019_02_26 1200 29.83 2
2019_03_03 1200 29.99 2
2019_03_08 1200 29.8 2
2019_03_13 1200 29.87 2
2019_03_18 1200 29.68 2
2019_03_23 1200 29.76 2
2019_03_28 1200 29.73 2
2019_04_02 1200 29.76 2
2019_04_07 1200 29.64 2
2019_04_12 1200 29.62 2
2019_04_17 1200 29.64 2
2019_04_22 1200 29.64 2
2019_04_27 1200 29.63 2
2019_05_02 1200 29.82 2
2019_05_07 1200 29.65 2
2019_05_12 1200 30.07 2
2019_05_17 1200 29.92 2
2019_05_22 1200 29.68 2
2019_05_27 1200 29.88 2
2019_06_01 1200 30.03 2
2019_06_06 1200 30.11 2
2019_06_11 1200 30.15 2
2019_06_16 1200 30 2
2019_06_21 1200 29.86 2
2019_06_26 1200 29.99 2
2019_07_01 1200 30.25 2
2019_07_06 1200 30.11 2
2019_07_11 1200 29.99 2
2019_07_16 1200 29.95 2
2019_07_21 1200 30.05 2
2019_07_26 1200 30.28 2
2019_07_31 1200 30.28 2
2019_08_05 1200 30.51 2
2019_08_10 1200 30.07 2
2019_08_15 1200 30.37 2
2019_08_20 1200 30.53 2
2019_08_25 1200 30.48 2
2019_08_30 1200 30.53 2
2019_09_04 1200 30.4 2
2019_09_09 1200 30.45 2
2019_09_14 1200 30.57 2
2019_09_19 1200 30.47 2
2019_09_24 1200 30.55 2
2019_09_29 1200 30.65 2
2019_10_04 1200 30.88 2
2019_10_09 1200 30.97 2
2019_10_14 1200 30.95 2
2019_10_19 1200 31.02 2
2019_10_24 1200 31.13 2
2019_10_29 1200 31.05 2
2019_11_03 1200 30.91 2
2019_11_08 1200 30.78 2
2019_11_13 1200 30.72 2
2019_11_18 1200 30.75 2
2019_11_23 1200 30.59 2
2019_11_28 1200 30.53 2
2019_12_03 1200 30.75 2
2019_12_08 1200 30.5 2
2019_12_13 1200 30.51 2
2019_12_18 1200 30.33 2
2019_12_23 1200 30.28 2
2019_12_28 1200 30.01 2
2020_01_02 1200 30.28 2
2020_01_07 1200 30.51 2
2020_01_12 1200 30.35 2
2020_01_17 1200 29.96 2
2020_01_22 1200 30.01 2
2020_01_27 1200 30.19 2
2020_02_01 1200 30.52 2
2020_02_06 1200 30.06 2
2020_02_11 1200 29.98 2
2020_02_16 1200 29.96 2
2020_02_21 1200 30.2 2
2020_02_26 1200 30.28 2
2020_03_03 1200 30.2 2
2020_03_08 1200 30.1 2
2020_03_13 1200 30.16 2
2020_03_18 1200 30.14 2
2020_03_23 1200 29.96 2
2020_03_28 1200 29.84 2
2020_04_02 1200 29.69 2
2020_04_07 1200 30.04 2
2020_04_12 1200 30.09 2
2020_04_17 1200 29.59 2
2020_04_22 1200 29.49 2
2020_04_27 1200 29.31 2
2020_05_02 1200 29.58 2
2020_05_07 1200 29.58 2
2020_05_12 1200 29.68 2
2020_05_17 1200 29.41 2
2020_05_22 1200 29.36 2
2020_05_27 1200 29.47 2
2020_06_01 1200 29.43 2
2020_06_06 1200 29.74 2
2020_06_11 1200 29.61 2
2020_06_16 1200 29.65 2
2020_06_21 1200 30 2
2020_06_26 1200 29.82 2
2020_07_01 1200 29.91 2
2020_07_06 1200 29.56 2
2020_07_11 1200 29.45 2
2020_07_16 1200 29.55 2
2020_07_21 1200 29.89 2
2020_07_26 1200 29.23 2
2020_07_31 1200 29.09 2
2020_08_05 1200 28.85 2
2020_08_10 1200 28.66 2
2020_08_15 1200 28.9 2
2020_08_20 1200 29.41 2
2020_08_25 1200 29.56 2
2020_08_30 1200 29.18 2
2020_09_04 1200 28.99 2
2020_09_09 1200 28.95 2
2020_09_14 1200 28.55 2
2020_09_19 1200 28.45 2
2020_09_24 1200 28.45 2
2020_09_29 1200 28.47 2
2020_10_04 1200 28.45 2
2020_10_09 1200 28.57 2
2020_10_14 1200 28.45 2
2020_10_19 1200 28.25 2
