 Location:  0N 165E  13 Dec 1986 to 19 Oct 2020 ( 2472 times, 11 blocks) Gen. Date Apr 20 2021
 Units: Sea Surface Temperature (C), -9.99 = missing
YYYY_MM_DD HHMM SST Q
1996_12_03 1200 29.45 2
1996_12_08 1200 29.89 2
1996_12_13 1200 30.11 2
1996_12_18 1200 29.83 2
1996_12_23 1200 29.88 2
1996_12_28 1200 29.81 2
1997_01_02 1200 29.8 2
1997_01_07 1200 29.81 2
1997_01_12 1200 29.84 2
1997_01_17 1200 29.79 2
1997_01_22 1200 29.95 2
1997_01_27 1200 29.89 2
1997_02_01 1200 29.73 2
1997_02_06 1200 29.76 2
1997_02_11 1200 29.92 2
1997_02_16 1200 29.92 2
1997_02_21 1200 29.9 2
1997_02_26 1200 29.78 2
1997_03_03 1200 29.51 2
1997_03_08 1200 29.97 2
1997_03_13 1200 29.88 2
1997_03_18 1200 30.01 2
1997_03_23 1200 30.17 2
1997_03_28 1200 30.07 2
1997_04_02 1200 29.95 2
1997_04_07 1200 30.02 2
1997_04_12 1200 29.85 2
1997_04_17 1200 29.59 2
1997_04_22 1200 29.55 2
1997_04_27 1200 29.44 2
1997_05_02 1200 29.47 2
1997_05_07 1200 29.4 2
1997_05_12 1200 29.63 2
1997_05_17 1200 29.64 2
1997_05_22 1200 29.6 2
1997_05_27 1200 29.35 2
1997_06_01 1200 29.28 2
1997_06_06 1200 29.2 2
1997_06_11 1200 29.19 2
1997_06_16 1200 29.22 2
1997_06_21 1200 29.38 2
1997_06_26 1200 29.65 2
1997_07_01 1200 29.67 2
1997_07_06 1200 29.6 2
1997_07_11 1200 29.56 2
1997_07_16 1200 29.54 2
1997_07_21 1200 29.39 2
1997_07_26 1200 29.11 2
1997_07_31 1200 28.8 2
1997_08_05 1200 28.66 2
1997_08_10 1200 28.72 2
1997_08_15 1200 28.63 2
1997_08_20 1200 28.7 2
1997_08_25 1200 29.04 2
1997_08_30 1200 28.95 2
1997_09_04 1200 28.69 2
1997_09_09 1200 28.61 2
1997_09_14 1200 28.6 2
1997_09_19 1200 29 2
1997_09_24 1200 29.22 2
1997_09_29 1200 29.12 2
1997_10_04 1200 28.83 2
1997_10_09 1200 28.7 2
1997_10_14 1200 28.9 2
1997_10_19 1200 29.41 2
1997_10_24 1200 28.98 2
1997_10_29 1200 28.59 2
1997_11_03 1200 28.66 2
1997_11_08 1200 29.29 2
1997_11_13 1200 29.41 2
1997_11_18 1200 29.86 2
1997_11_23 1200 29.83 2
1997_11_28 1200 29.87 2
1997_12_03 1200 29.69 2
1997_12_08 1200 29.5 2
1997_12_13 1200 29.34 2
1997_12_18 1200 29.39 2
1997_12_23 1200 29.23 2
1997_12_28 1200 29.11 2
1998_01_02 1200 29.02 2
1998_01_07 1200 28.9 2
1998_01_12 1200 29 2
1998_01_17 1200 29.01 2
1998_01_22 1200 28.09 2
1998_01_27 1200 28.07 2
1998_02_01 1200 28.41 2
1998_02_06 1200 28.65 2
1998_02_11 1200 28.33 2
1998_02_16 1200 28.7 2
1998_02_21 1200 28.18 2
1998_02_26 1200 28.26 2
1998_03_03 1200 28.04 2
1998_03_08 1200 28.82 2
1998_03_13 1200 28.66 2
1998_03_18 1200 28.22 2
1998_03_23 1200 28.01 2
1998_03_28 1200 27.57 2
1998_04_02 1200 27.59 2
1998_04_07 1200 27.57 2
1998_04_12 1200 27.67 2
1998_04_17 1200 28.46 2
1998_04_22 1200 27.66 2
1998_04_27 1200 27.39 2
1998_05_02 1200 27.49 2
1998_05_07 1200 27.51 2
1998_05_12 1200 27.67 2
1998_05_17 1200 27.6 2
1998_05_22 1200 27.86 2
