 Location:  0N 110W   8 Mar 1980 to 18 Nov 2020 ( 2972 times, 18 blocks) Gen. Date Apr 20 2021
 Units: Sea Surface Temperature (C), -9.99 = missing
YYYY_MM_DD HHMM SST QUALITY
1986_10_24 1200 24.33 2
1986_10_29 1200 24.4 2
1986_11_03 1200 24.51 2
1986_11_08 1200 24.35 2
1986_11_13 1200 24.23 2
1986_11_18 1200 24.27 2
1986_11_23 1200 23.91 2
1986_11_28 1200 23.35 2
1986_12_03 1200 23.16 2
1986_12_08 1200 23.87 2
1986_12_13 1200 23.48 2
1986_12_18 1200 23.37 2
1986_12_23 1200 23.59 2
1986_12_28 1200 24.15 2
1987_01_02 1200 24.99 2
1987_01_07 1200 25.29 2
1987_01_12 1200 25.72 2
1987_01_17 1200 26.16 2
1987_01_22 1200 25.79 2
1987_01_27 1200 26.25 2
1987_02_01 1200 26.48 2
1987_02_06 1200 26.95 2
1987_02_11 1200 26.35 2
1987_02_16 1200 26.3 2
1987_02_21 1200 27.12 2
1987_02_26 1200 27.64 2
1987_03_03 1200 -9.99 0
1987_03_08 1200 -9.99 0
1987_03_13 1200 27.47 2
1987_03_18 1200 28.13 2
1987_03_23 1200 28.38 2
1987_03_28 1200 27.54 2
1987_04_02 1200 27.75 2
1987_04_07 1200 28.38 2
1987_04_12 1200 -9.99 0
1987_04_17 1200 -9.99 0
1987_04_22 1200 -9.99 0
1987_04_27 1200 -9.99 0
1987_05_02 1200 27.98 2
1987_05_07 1200 27.98 2
1987_05_12 1200 27.06 2
1987_05_17 1200 26.77 2
1987_05_22 1200 26.86 2
1987_05_27 1200 26.33 2
1987_06_01 1200 26.08 2
1987_06_06 1200 26.18 2
1987_06_11 1200 26.43 2
1987_06_16 1200 26.05 2
1987_06_21 1200 25.81 2
1987_06_26 1200 25.92 2
1987_07_01 1200 25.99 2
1987_07_06 1200 26.92 2
1987_07_11 1200 26.49 2
1987_07_16 1200 25.7 2
1987_07_21 1200 24.73 2
1987_07_26 1200 23.92 2
1987_07_31 1200 24.01 2
1987_08_05 1200 23.9 2
1987_08_10 1200 23.7 2
1987_08_15 1200 23.62 2
1987_08_20 1200 23.78 2
1987_08_25 1200 24.38 2
1987_08_30 1200 25.41 2
1987_09_04 1200 26.15 2
1987_09_09 1200 25.68 2
1987_09_14 1200 24.7 2
1987_09_19 1200 24.79 2
1987_09_24 1200 26.03 2
1987_09_29 1200 24.3 2
1987_10_04 1200 24.74 2
1987_10_09 1200 25.58 2
1987_10_14 1200 23.96 2
1987_10_19 1200 23.74 2
1987_10_24 1200 23.73 2
1987_10_29 1200 23.7 2
1987_11_03 1200 23.95 2
1987_11_08 1200 23.34 2
1987_11_13 1200 23.57 2
1987_11_18 1200 23.76 2
1987_11_23 1200 24.44 2
1987_11_28 1200 23.36 2
1987_12_03 1200 23.33 2
1987_12_08 1200 23.44 2
1987_12_13 1200 23.54 2
1987_12_18 1200 23.62 2
1987_12_23 1200 24.53 2
1987_12_28 1200 25.07 2
1988_01_02 1200 24.38 2
1988_01_07 1200 23.92 2
1988_01_12 1200 23.63 2
1988_01_17 1200 24.17 2
1988_01_22 1200 23.56 2
1988_01_27 1200 23.55 2
1988_02_01 1200 23.46 2
1988_02_06 1200 24.06 2
1988_02_11 1200 24.75 2
1988_02_16 1200 24.86 2
1988_02_21 1200 25.45 2
1988_02_26 1200 26.05 2
