Stock,Gear Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Bigeye tuna Indian Ocean,Gear not known,32,36,53,53,52,71,76,170,1997,464,459,239,133,134,248,858,396,494,467,268,210,293,188,320,320,835,3619,4175,6518,9894,10531
Bigeye tuna Indian Ocean,Longlines (nei),34228,34115,42644,48554,38839,44435,46025,50424,56255,56084,60035,60639,59853,84045,89752,88810,101928,112720,112126,108734,98456,95037,109837,104530,113877,94080,90631,93435,69880,66581,46393
Bigeye tuna Indian Ocean,Mechanized lines and pole-and-lines,105,230,105,193,369,319,216,332,317,307,294,484,388,505,510,473,630,540,606,1007,560,923,1148,1129,1015,1047,1111,932,1102,1004,725
Bigeye tuna Indian Ocean,Purse seines,34,28,140,613,4047,7178,10657,13436,15105,12036,12693,15651,11277,15988,18978,28483,24659,34099,28483,40818,30033,23895,29202,23004,22615,26254,24866,23973,29771,30376,22552
Bigeye tuna Indian Ocean,Trolling lines,648,704,910,864,866,872,874,859,1010,1069,808,911,815,1132,1186,1145,1239,1240,1093,1083,1052,920,736,681,709,543,518,570,704,685,685
Pacific bluefin tuna in the Pacific,Gear not known,4541,4812,3397,2171,3238,3941,3778,2799,1510,1309,1742,2409,2614,1948,1818,3055,1918,2158,2813,3051,2717,3017,3121,2224,1626,2930,2422,2777,3773,3521,2802
Pacific bluefin tuna in the Pacific,Longlines (nei),965,802,952,402,644,325,187,612,297,450,537,585,1014,1304,1797,1048,1885,3140,3269,4415,3786,2784,2440,3199,3586,3307,2281,3496,2474,2189,1282
Pacific bluefin tuna in the Pacific,Mechanized lines and pole-and-lines,1392,754,1777,356,587,1817,1086,1565,907,759,597,286,166,129,162,270,94,36,85,40,163,181,102,47,132,549,108,236,79,70,83
Pacific bluefin tuna in the Pacific,Purse seines,8339,4299,7987,2672,3926,10639,13354,4267,3848,3396,4012,8061,8334,3492,3932,17579,20023,14084,7282,11013,19240,9333,10530,14718,22752,21769,27525,15037,20200,15979,20910
Pacific bluefin tuna in the Pacific,Trolling lines,1531,1777,864,2028,1874,1850,1467,880,1124,903,1250,2069,915,546,4111,4778,3640,2740,2865,3387,5121,3329,2427,1839,2182,3406,1544,2385,2074,1875,1301
