Atlantic bluefin tuna Global,France,Longlines (nei),0,-,0,-,0,-,0,-,2,,0,-,95,,1,,0,-,9,,0,-
Atlantic bluefin tuna Global,France,Mechanized lines and pole-and-lines,91,,105,,150,,130,,47,,0,-,50,,128,,67,,62,,83,
Atlantic bluefin tuna Global,France,Purse seines,6780,,6119,,5810,,5549,,6562,,8328,,7591,,9543,,2536,,2918,,1546,
Atlantic bluefin tuna Global,Italy,Gear not known,756,,863,,987,,621,,599,,529,,402,,93,,166,,202,,531,
Atlantic bluefin tuna Global,Italy,Longlines (nei),287,,260,,395,,354,,261,,309,,285,,217,,216,,193,,521,
Atlantic bluefin tuna Global,Italy,Purse seines,2801,,3256,,3246,,3742,,3637,,3960,,4006,,4311,,1854,,2339,,0,-
Atlantic bluefin tuna Global,Japan,Longlines (nei),3523,,3083,,3501,,3068,,3123,,3241,,2828,,2355,,2923,,2084,,1508,
Atlantic bluefin tuna Global,"Korea, Republic of",Longlines (nei),6,,0,-,0,-,0,-,3,,1,,79,,0,-,0,-,0,-,0,-
Atlantic bluefin tuna Global,"Korea, Republic of",Purse seines,0,-,0,-,0,-,0,-,700,,1145,,0,-,276,,335,,102,,0,-
Atlantic bluefin tuna Global,Libya,Gear not known,44,,74,,107,,71,,34,,42,,0,-,0,-,0,-,0,-,0,-
Atlantic bluefin tuna Global,Libya,Longlines (nei),1002,,1867,,331,,170,,393,,318,,187,,158,,51,,34,,0,-
Atlantic bluefin tuna Global,Libya,Purse seines,502,,0,-,200,,512,,872,,730,,1140,,1200,,1267,,1047,,645,
Atlantic bluefin tuna Global,Mexico,Longlines (nei),29,,10,,12,,22,,9,,10,,14,,7,,7,,10,,14,
Atlantic bluefin tuna Global,Morocco,Gear not known,2263,,2858,,2102,,1895,,1695,,1598,,1931,,2436,,1950,,1911,,1348,
Atlantic bluefin tuna Global,Morocco,Longlines (nei),0,-,0,-,0,-,2,,8,,16,,273,,108,,528,,0,-,107,
Atlantic bluefin tuna Global,Morocco,Purse seines,660,,150,,884,,660,,1077,,883,,182,,515,,0,-,367,,98,
Atlantic bluefin tuna Global,Portugal,Gear not known,41,,18,,20,,27,,18,,9,,25,,23,,24,,47,,57,
Atlantic bluefin tuna Global,Portugal,Longlines (nei),459,,447,,160,,35,,1,,61,,83,,5,,12,,5,,0,-
Atlantic bluefin tuna Global,Portugal,Mechanized lines and pole-and-lines,2,,2,,7,,1,,8,,6,,0,-,1,,0,-,0,-,0,-
Atlantic bluefin tuna Global,Portugal,Purse seines,0,-,0,-,0,-,0,-,0,-,0,-,1,,0,-,0,-,0,-,1,
Atlantic bluefin tuna Global,Spain,Gear not known,2153,,1448,,1690,,894,,979,,918,,832,,1378,,1215,,1223,,921,
Atlantic bluefin tuna Global,Spain,Longlines (nei),495,,648,,436,,584,,532,,487,,687,,759,,815,,590,,240,
Atlantic bluefin tuna Global,Spain,Mechanized lines and pole-and-lines,1728,,2168,,2411,,1248,,1753,,2017,,1065,,1903,,1728,,1197,,641,
Atlantic bluefin tuna Global,Spain,Purse seines,1676,,1453,,1686,,1886,,1778,,2242,,2013,,1649,,1645,,1167,,804,
Atlantic bluefin tuna Global,Spain,Trolling lines,192,,151,,80,,39,,112,,195,,125,,0,-,1,,0,-,0,-
Atlantic bluefin tuna Global,Taiwan Province of China,Longlines (nei),313,,633,,666,,445,,51,,277,,9,,0,-,0,-,0,-,0,-
Atlantic bluefin tuna Global,United Kingdom,Gear not known,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,,0,-
Atlantic bluefin tuna Global,United States of America,Gear not known,871,,1355,,1582,,1079,,758,,458,,406,,657,,689,,926,,714,
Atlantic bluefin tuna Global,United States of America,Longlines (nei),242,,130,,224,,299,,275,,212,,206,,173,,233,,334,,213,
Atlantic bluefin tuna Global,United States of America,Purse seines,275,,196,,208,,265,,32,,178,,4,,28,,0,-,11,,0,-
Bigeye tuna Global,Australia,Gear not known,0,-,0,-,0,-,12,,23,,3,,8,,21,,0,-,0,-,0,-
Bigeye tuna Global,Australia,Longlines (nei),1202,,1693,,1421,,1230,,983,,822,,558,,1077,,1054,,788,,523,
Bigeye tuna Global,Brazil,Gear not known,0,-,0,-,0,-,0,-,74,,1,,7,,17,,14,,88,,6,
Bigeye tuna Global,Brazil,Longlines (nei),2761,,2534,,2583,,2375,,1377,,1014,,1423,,928,,785,,1009,,1049,
Bigeye tuna Global,Brazil,Mechanized lines and pole-and-lines,6,,126,,0,-,81,,42,,56,,48,,650,,159,,93,,97,
Bigeye tuna Global,Brazil,Purse seines,0,-,0,-,0,-,0,-,0,-,10,,0,-,0,-,0,-,0,-,0,-
Bigeye tuna Global,Cabo Verde,Gear not known,2,,0,-,1,,1,,1,,0,-,1,,0,-,1,,3,,0,-
Bigeye tuna Global,Cabo Verde,Purse seines,0,-,0,-,0,-,0,-,0,-,1092,,1436,,1147,,1068,,824,,1163,
